Rank,Year,Title,Link
75,1929,Mean to Me,/wiki/Mean_to_Me_(1929_song)
76,1938,September Song,/wiki/September_Song
77,1926,Someone to Watch Over Me,/wiki/Someone_to_Watch_Over_Me_(song)
78,1926,I've Found a New Baby,/wiki/I%27ve_Found_a_New_Baby
79,1940,Polka Dots and Moonbeams,/wiki/Polka_Dots_and_Moonbeams
80,1937,Easy Living,/wiki/Easy_Living_(song)
81,1936,Pennies from Heaven,/wiki/Pennies_from_Heaven_(song)
82,1939,I Didn't Know What Time It Was,/wiki/I_Didn%27t_Know_What_Time_It_Was
83,1930,Memories of You,/wiki/Memories_of_You
84,1932,It Don't Mean a Thing,/wiki/It_Don%27t_Mean_a_Thing_(If_It_Ain%27t_Got_That_Swing)
85,1931,Just Friends,/wiki/Just_Friends_(1931_song)
86,1937,They Can't Take That Away from Me,/wiki/They_Can%27t_Take_That_Away_from_Me
87,1943,Star Eyes,
88,1937,A Foggy Day,
89,1932,Alone Together,/wiki/Alone_Together_(song)
90,1929,"Just You, Just Me","/wiki/Just_You,_Just_Me"
91,1935,My Romance,/wiki/My_Romance_(song)
92,1942,Things Ain't What They Used to Be,/wiki/Things_Ain%27t_What_They_Used_to_Be
93,1943,Do Nothin' Till You Hear from Me,/wiki/Do_Nothin%27_Till_You_Hear_from_Me
94,1934,Blue Moon,/wiki/Blue_Moon_(song)
95,1931,I Surrender Dear,/wiki/I_Surrender_Dear
96,1940,You Stepped Out of a Dream,/wiki/You_Stepped_Out_of_a_Dream
97,1953,My One and Only Love,/wiki/My_One_and_Only_Love
98,1927,'S Wonderful!,
99,1933,Smoke Gets in Your Eyes,/wiki/Smoke_Gets_in_Your_Eyes
100,1953,Here's That Rainy Day,/wiki/Here%27s_That_Rainy_Day
101,1934,My Old Flame,/w/index.php?title=My_Old_Flame&action=edit&redlink=1
102,1941,Everything Happens to Me,/wiki/Everything_Happens_to_Me_(song)
103,1949,My Foolish Heart,/wiki/My_Foolish_Heart_(song)
104,1942,Don't Get Around Much Anymore,/wiki/Don%27t_Get_Around_Much_Anymore
105,1939,Undecided,
106,1933,Stormy Weather (Keeps Rainin' All the Time),
107,1934,The Very Thought of You,
108,1939,I Thought About You,/wiki/I_Thought_About_You
109,1920,Avalon,/wiki/Avalon_(Al_Jolson_song)
110,1928,Mack the Knife,/wiki/Mack_the_Knife
111,1934,For All We Know,/wiki/For_All_We_Know_(1934_song)
112,1945,Billie's Bounce,/wiki/Billie%27s_Bounce
113,1930,Exactly Like You,/wiki/Exactly_Like_You_(song)
114,1945,It Might As Well Be Spring,
115,1948,Nature Boy,/wiki/Nature_Boy
116,1942,I Remember You,/wiki/I_Remember_You_(1941_song)
117,1935,Goodbye,/wiki/Goodbye_(Gordon_Jenkins_song)
118,1932,Lover,/wiki/Lover_(song)
119,1944,I Love You,/wiki/I_Love_You_(Cole_Porter_song)
120,1943,Speak Low,/wiki/Speak_Low
121,1934,Autumn in New York,/wiki/Autumn_in_New_York_(song)
122,1936,Easy to Love,/wiki/You%27d_Be_So_Easy_to_Love
123,1938,This Can't Be Love,
124,1935,Little Girl Blue,/wiki/Little_Girl_Blue_(song)
125,1934,East of the Sun (and West of the Moon),/wiki/East_of_the_Sun_(and_West_of_the_Moon)
126,1926,Bye Bye Blackbird,/wiki/Bye_Bye_Blackbird
127,1946,If You Could See Me Now,/wiki/If_You_Could_See_Me_Now_(song)
128,1934,Moonglow,/wiki/Moonglow_(song)
129,1927,Blue Skies,/wiki/Blue_Skies_(1926_song)
130,1932,April in Paris,/wiki/April_in_Paris_(song)
131,1947,Time After Time,/wiki/Time_After_Time_(1947_song)
132,1928,Softly As in a Morning Sunrise,
133,1947,But Beautiful,/wiki/But_Beautiful_(song)
134,1925,Dinah,/wiki/Dinah_(song)
135,1962,Days of Wine and Roses,/wiki/Days_of_Wine_and_Roses_(song)
136,1934,Solitude,/wiki/(In_My)_Solitude
137,1952,When I Fall in Love,/wiki/When_I_Fall_in_Love
138,1957,I Remember Clifford,/wiki/I_Remember_Clifford_(song)
139,1934,I Get a Kick Out of You,/wiki/I_Get_a_Kick_Out_of_You
140,1940,In a Mellotone,
141,1944,Moonlight in Vermont,/wiki/Moonlight_in_Vermont_(song)
142,1931,Sweet and Lovely,/w/index.php?title=Sweet_and_Lovely&action=edit&redlink=1
143,1937,Gone with the Wind,/wiki/Gone_with_the_Wind_(song)
144,1938,Old Folks,
145,1930,Three Little Words,/wiki/Three_Little_Words_(song)
146,1941,Flamingo,/wiki/Flamingo_(song)
147,1944,Like Someone in Love,/wiki/Like_Someone_in_Love
148,1942,C Jam Blues,/wiki/C_Jam_Blues
149,1925,Sometimes I'm Happy,
150,1929,Gee Baby Ain't I Good to You,
151,1943,Come Sunday,/wiki/Come_Sunday
152,1938,I Let a Song Go Out of My Heart,/wiki/I_Let_a_Song_Go_Out_of_My_Heart
153,1952,Lullaby of Birdland,/wiki/Lullaby_of_Birdland
154,1933,It's Only a Paper Moon,/wiki/It%27s_Only_a_Paper_Moon_(song)
155,1926,If I Could Be with You (One Hour Tonight),/wiki/If_I_Could_Be_with_You_(One_Hour_Tonight)
156,1930,Time on My Hands,
157,1931,Between the Devil and the Deep Blue Sea,/wiki/Between_the_Devil_and_the_Deep_Blue_Sea_(song)
158,1937,Nice Work If You Can Get It,
159,1932,The Song Is You,/wiki/The_Song_Is_You_(song)
160,1936,I've Got You Under My Skin,/wiki/I%27ve_Got_You_Under_My_Skin
161,1930,Mood Indigo,/wiki/Mood_Indigo
162,1928,I Can't Give You Anything but Love,/wiki/I_Can%27t_Give_You_Anything_but_Love
163,1951,Straight No Chaser,
164,1911,My Melancholy Baby,/wiki/My_Melancholy_Baby
165,1921,Sheik of Araby,
166,1926,I Can't Believe That You're in Love with Me,
167,1935,Stairway to the Stars (Park Avenue Fantasy),
168,1946,Yardbird Suite,/wiki/Yardbird_Suite
169,1929,Get Happy,/wiki/Get_Happy_(song)
170,1941,God Bless the Child,/wiki/God_Bless_the_Child_(Billie_Holiday_song)
171,1925,Squeeze Me,/wiki/Squeeze_Me
172,1924,Somebody Loves Me,/wiki/Somebody_Loves_Me
173,1943,Woody'n You,
